Neighborhoods,Junction,Traffic_volume
Paðilaièiai,Ukmergësg-MykoloLietuviog,39447
Verkiai,GeleþinioVilkog-Mokslininkøg,72528
Verkiai,Ateitiesg-Baltupiog,44320
Fabijoniðkës,Ateitiesg-Didlaukiog,42617
Fabijoniðkës,Ateitiesg-Stanevièiausg,48640
Fabijoniðkës,Ateitiesg-Fabijoniðkiøg,44109
"Verkiai,	GeleþinioVilkog–Baltupiog–Didlaukiog,60493"
"Fabijoniðkës,	Ukmergësg-Fabijoniðkiøg,62346"
"Justiniðkës,	Laisvëspr–Rygosg–Buivydiðkiøg,54629"
"Justiniðkës,	Rygosg-Justiniðkiøg,33270"
"Virðuliðkës,	Laisvëspr–Virðuliðkiøg,56611"
Ðeðkinë,Ozog-Buivydiðkiøg,45456
"Ðeðkinë,	Ozog–Ukmergësg,55101"
Ðeðkinë,Ozog–Gelvonøg,60153
Þirmûnai,Kalvarijøg–Kareiviøg–Ozog,86019
"Þirmûnai,	Kareiviøg-Verkiøg,58500"
"Þirmûnai,	Kareiviøg-Þirmûnøg,62165"
"Virðuliðkës,	Laisvëspr-Justiniðkiøg,55591"
Karoliniðkës,Laisvëspr–Pilaitëspr–TNarbutog,65995
"Pilaitë,	Pilaitëspr-Sidaroniøg,49142"
"Þvërynas,	TNarbutog-Sëliøg,47954"
"Þvërynas,	TNarbuto–Saltoniðkiøg,59867"
"Ðeðkinë,	Ukmergësg-GeleþinioVilkog,96318"
"Ðnipiðkës,	GeleþinioVilkog–Þalgiriog,83064"
"Ðnipiðkës,	Þalgiriog-Linkmenøg,43566"
Ðnipiðkës,Kalvarijøg–Þalgiriog,53536
"Ðnipiðkës,	Þalgiriog-Rinktinësg,49789"
"Antakalnis,	Antakalniog–Ðilog,49392"
Ðnipiðkës,Konstitucijospr-Linkmenøg,48524
"Ðnipiðkës,	Kalvarijøg–Konstitucijospr–Ðeimyniðkiøg,56494"
"Naujamiestis,	AGoðtautog-JTumo–Vaiþgantog,36618"
"Naujamiestis,	VKudirkosg-Pamënkalniog,52371"
Naujamiestis,Ðvitrigailosg-JBasanavièiausg,42359
"Vilkpëdë,	Savanoriøpr–Þemaitësg,50542"
"Vilkpëdë,	Savanoriøpr-GerosiosViltiesg,41784"
Vilkpëdë,GeleþinioVilkog–GerosiosViltiesg,71942
"Vilkpëdë,	Savanoriøpr–Vilkpëdësg,58024"
"Vilkpëdë,	Savanoriøpr-Sausupiog,46806"
"Vilkpëdë,	Þemaitësg–Naugardukog–Kaunog,45987"
"Naujamiestis,	Kaunog-Ðvitrigailosg,40828"
"Naujamiestis,	Ðvitrigailosg-Paneriøg,45192"
Naujininkai,DariausirGirënog-Pelesosg,55869
"Naujininkai,	DariausirGirënog–Kapsøg–Ðaltkalviøg,40790"
Naujininkai,DariausirGirënog-Eiðiðkiøpl,48804
Rasos,Liepkalniog–Þirniøg–Minskopl,65537
"Rasos,	Dunojausg-Liepkalniog,40910"
Rasos,AuðrosVartøg-Geleþinkeliog-Liepkalniog,36966
"Rasos,	Drujosg-Manufaktûrøg,35553"
"Senamiestis,	Þygimantøg-Arsenalog,42265"
"Senamiestis,	Þygimantøg-AGoðtautog,60973"
